연번,선명,역명,소요시간,역간거리(km),호선별누계(km),역명_clean,전역,전역_clean
1,1호선,서울역,0,0.0,0.0,서울역,,
2,1호선,시청,120,1.1,1.1,시청,서울역,서울역
3,1호선,종각,120,1.0,2.1,종각,시청,시청
4,1호선,종로3가,90,0.8,2.9,종로3가,종각,종각
5,1호선,종로5가,90,0.9,3.8,종로5가,종로3가,종로3가
6,1호선,동대문,90,0.8,4.6,동대문,종로5가,종로5가
7,1호선,동묘앞,60,0.6,5.2,동묘앞,동대문,동대문
8,1호선,신설동,90,0.7,5.9,신설동,동묘앞,동묘앞
9,1호선,제기동,90,0.9,6.8,제기동,신설동,신설동
10,1호선,청량리,90,1.0,7.8,청량리,제기동,제기동
11,2호선,시청,0,0.0,0.0,시청,,
12,2호선,을지로입구,90,0.7,0.7,을지로입구,시청,시청
13,2호선,을지로3가,60,0.8,1.5,을지로3가,을지로입구,을지로입구
14,2호선,을지로4가,60,0.6,2.1,을지로4가,을지로3가,을지로3가
15,2호선,동대문역사문화공원,90,1.0,3.1,동대문역사문화공원,을지로4가,을지로4가
16,2호선,신당,90,0.9,4.0,신당,동대문역사문화공원,동대문역사문화공원
17,2호선,상왕십리,60,0.9,4.9,상왕십리,신당,신당
18,2호선,왕십리,60,0.8,5.7,왕십리,상왕십리,상왕십리
19,2호선,한양대,90,1.0,6.7,한양대,왕십리,왕십리
20,2호선,뚝섬,90,1.1,7.8,뚝섬,한양대,한양대
21,2호선,성수,60,0.8,8.6,성수,뚝섬,뚝섬
22,2호선,건대입구,90,1.2,9.8,건대입구,성수,성수
23,2호선,구의,120,1.6,11.4,구의,건대입구,건대입구
24,2호선,강변,60,0.9,12.3,강변,구의,구의
25,2호선,잠실나루,120,1.8,14.1,잠실나루,강변,강변
26,2호선,잠실,90,1.0,15.1,잠실,잠실나루,잠실나루
27,2호선,잠실새내,90,1.2,16.3,잠실새내,잠실,잠실
28,2호선,종합운동장,90,1.2,17.5,종합운동장,잠실새내,잠실새내
29,2호선,삼성,90,1.0,18.5,삼성,종합운동장,종합운동장
30,2호선,선릉,90,1.3,19.8,선릉,삼성,삼성
31,2호선,역삼,90,1.2,21.0,역삼,선릉,선릉
32,2호선,강남,60,0.8,21.8,강남,역삼,역삼
33,2호선,교대,90,1.2,23.0,교대,강남,강남
34,2호선,서초,60,0.7,23.7,서초,교대,교대
35,2호선,방배,120,1.7,25.4,방배,서초,서초
36,2호선,사당,150,1.6,27.0,사당,방배,방배
37,2호선,낙성대,120,1.7,28.7,낙성대,사당,사당
38,2호선,서울대입구,90,1.0,29.7,서울대입구,낙성대,낙성대
39,2호선,봉천,60,1.0,30.7,봉천,서울대입구,서울대입구
40,2호선,신림,90,1.1,31.8,신림,봉천,봉천
41,2호선,신대방,120,1.8,33.6,신대방,신림,신림
42,2호선,구로디지털단지,90,1.1,34.7,구로디지털단지,신대방,신대방
43,2호선,대림,90,1.1,35.8,대림,구로디지털단지,구로디지털단지
44,2호선,신도림,150,1.8,37.6,신도림,대림,대림
45,2호선,문래,120,1.2,38.8,문래,신도림,신도림
46,2호선,영등포구청,60,0.9,39.7,영등포구청,문래,문래
47,2호선,당산,90,1.1,40.8,당산,영등포구청,영등포구청
48,2호선,합정,150,2.0,42.8,합정,당산,당산
49,2호선,홍대입구,90,1.1,43.9,홍대입구,합정,합정
50,2호선,신촌,120,1.3,45.2,신촌,홍대입구,홍대입구
51,2호선,이대,60,0.8,46.0,이대,신촌,신촌
52,2호선,아현,60,0.9,46.9,아현,이대,이대
53,2호선,충정로,90,0.8,47.7,충정로,아현,아현
54,2호선,시청,90,1.1,48.8,시청,충정로,충정로
55,2호선,용답,180,2.3,51.1,용답,시청,시청
56,2호선,신답,90,1.0,52.1,신답,용답,용답
57,2호선,용두,90,0.9,53.0,용두,신답,신답
58,2호선,신설동,90,1.2,54.2,신설동,용두,용두
59,2호선,도림천,90,1.0,55.2,도림천,신설동,신설동
60,2호선,양천구청,150,1.7,56.9,양천구청,도림천,도림천
61,2호선,신정네거리,180,1.9,58.8,신정네거리,양천구청,양천구청
62,2호선,까치산,150,1.4,60.2,까치산,신정네거리,신정네거리
63,3호선,지축,0,0.0,0.0,지축,,
64,3호선,구파발,180,1.5,1.5,구파발,지축,지축
65,3호선,연신내,120,2.0,3.5,연신내,구파발,구파발
66,3호선,불광,90,1.3,4.8,불광,연신내,연신내
67,3호선,녹번,90,1.1,5.9,녹번,불광,불광
68,3호선,홍제,120,1.6,7.5,홍제,녹번,녹번
69,3호선,무악재,90,0.9,8.4,무악재,홍제,홍제
70,3호선,독립문,90,1.1,9.5,독립문,무악재,무악재
71,3호선,경복궁,120,1.6,11.1,경복궁,독립문,독립문
72,3호선,안국,90,1.1,12.2,안국,경복궁,경복궁
73,3호선,종로3가,90,1.0,13.2,종로3가,안국,안국
74,3호선,을지로3가,60,0.6,13.8,을지로3가,종로3가,종로3가
75,3호선,충무로,60,0.7,14.5,충무로,을지로3가,을지로3가
76,3호선,동대입구,90,0.9,15.4,동대입구,충무로,충무로
77,3호선,약수,60,0.7,16.1,약수,동대입구,동대입구
78,3호선,금호,60,0.8,16.9,금호,약수,약수
79,3호선,옥수,60,0.8,17.7,옥수,금호,금호
80,3호선,압구정,120,2.1,19.8,압구정,옥수,옥수
81,3호선,신사,120,1.5,21.3,신사,압구정,압구정
82,3호선,잠원,90,0.9,22.2,잠원,신사,신사
83,3호선,고속터미널,90,1.2,23.4,고속터미널,잠원,잠원
84,3호선,교대,120,1.6,25.0,교대,고속터미널,고속터미널
85,3호선,남부터미널,90,0.9,25.9,남부터미널,교대,교대
86,3호선,양재,120,1.8,27.7,양재,남부터미널,남부터미널
87,3호선,매봉,120,1.2,28.9,매봉,양재,양재
88,3호선,도곡,90,0.8,29.7,도곡,매봉,매봉
89,3호선,대치,60,0.8,30.5,대치,도곡,도곡
90,3호선,학여울,60,0.8,31.3,학여울,대치,대치
91,3호선,대청,90,0.9,32.2,대청,학여울,학여울
92,3호선,일원,90,1.2,33.4,일원,대청,대청
93,3호선,수서,120,1.8,35.2,수서,일원,일원
94,3호선,가락시장,120,1.4,36.6,가락시장,수서,수서
95,3호선,경찰병원,60,0.8,37.4,경찰병원,가락시장,가락시장
96,3호선,오금,60,0.8,38.2,오금,경찰병원,경찰병원
97,4호선,당고개,0,0.0,0.0,당고개,,
98,4호선,상계,90,1.2,1.2,상계,당고개,당고개
99,4호선,노원,90,1.0,2.2,노원,상계,상계
100,4호선,창동,120,1.4,3.6,창동,노원,노원
101,4호선,쌍문,90,1.3,4.9,쌍문,창동,창동
102,4호선,수유,120,1.5,6.4,수유,쌍문,쌍문
103,4호선,미아,90,1.4,7.8,미아,수유,수유
104,4호선,미아사거리,120,1.5,9.3,미아사거리,미아,미아
105,4호선,길음,90,1.3,10.6,길음,미아사거리,미아사거리
106,4호선,성신여대입구,120,1.4,12.0,성신여대입구,길음,길음
107,4호선,한성대입구,90,1.0,13.0,한성대입구,성신여대입구,성신여대입구
108,4호선,혜화,90,0.9,13.9,혜화,한성대입구,한성대입구
109,4호선,동대문,120,1.5,15.4,동대문,혜화,혜화
110,4호선,동대문역사문화공원,60,0.7,16.1,동대문역사문화공원,동대문,동대문
111,4호선,충무로,120,1.3,17.4,충무로,동대문역사문화공원,동대문역사문화공원
112,4호선,명동,60,0.7,18.1,명동,충무로,충무로
113,4호선,회현,60,0.7,18.8,회현,명동,명동
114,4호선,서울역,90,0.9,19.7,서울역,회현,회현
115,4호선,숙대입구,90,1.0,20.7,숙대입구,서울역,서울역
116,4호선,삼각지,90,1.2,21.9,삼각지,숙대입구,숙대입구
117,4호선,신용산,60,0.7,22.6,신용산,삼각지,삼각지
118,4호선,이촌,90,1.3,23.9,이촌,신용산,신용산
119,4호선,동작,180,2.7,26.6,동작,이촌,이촌
120,4호선,총신대입구,150,1.8,28.4,총신대입구,동작,동작
121,4호선,사당,90,1.1,29.5,사당,총신대입구,총신대입구
122,4호선,남태령,90,1.6,31.1,남태령,사당,사당
123,5호선,방화,0,0.0,0.0,방화,,
124,5호선,개화산,90,0.9,0.9,개화산,방화,방화
125,5호선,김포공항,100,1.2,2.1,김포공항,개화산,개화산
126,5호선,송정,130,1.2,3.3,송정,김포공항,김포공항
127,5호선,마곡,90,1.1,4.4,마곡,송정,송정
128,5호선,발산,100,1.2,5.6,발산,마곡,마곡
129,5호선,우장산,90,1.1,6.7,우장산,발산,발산
130,5호선,화곡,90,1.0,7.7,화곡,우장산,우장산
131,5호선,까치산,90,1.2,8.9,까치산,화곡,화곡
132,5호선,신정,110,1.3,10.2,신정,까치산,까치산
133,5호선,목동,70,0.8,11.0,목동,신정,신정
134,5호선,오목교,80,0.9,11.9,오목교,목동,목동
135,5호선,양평,80,1.0,12.9,양평,오목교,오목교
136,5호선,영등포구청,70,0.8,13.7,영등포구청,양평,양평
137,5호선,영등포시장,70,0.9,14.6,영등포시장,영등포구청,영등포구청
138,5호선,신길,90,1.1,15.7,신길,영등포시장,영등포시장
139,5호선,여의도,90,1.0,16.7,여의도,신길,신길
140,5호선,여의나루,80,1.0,17.7,여의나루,여의도,여의도
141,5호선,마포,120,1.8,19.5,마포,여의나루,여의나루
142,5호선,공덕,70,0.8,20.3,공덕,마포,마포
143,5호선,애오개,80,1.1,21.4,애오개,공덕,공덕
144,5호선,충정로,80,0.9,22.3,충정로,애오개,애오개
145,5호선,서대문,60,0.7,23.0,서대문,충정로,충정로
146,5호선,광화문,90,1.1,24.1,광화문,서대문,서대문
147,5호선,종로3가,100,1.2,25.3,종로3가,광화문,광화문
148,5호선,을지로4가,100,1.0,26.3,을지로4가,종로3가,종로3가
149,5호선,동대문역사문화공원,90,0.9,27.2,동대문역사문화공원,을지로4가,을지로4가
150,5호선,청구,80,0.9,28.1,청구,동대문역사문화공원,동대문역사문화공원
151,5호선,신금호,90,0.9,29.0,신금호,청구,청구
152,5호선,행당,80,0.9,29.9,행당,신금호,신금호
153,5호선,왕십리,70,0.9,30.8,왕십리,행당,행당
154,5호선,마장,60,0.7,31.5,마장,왕십리,왕십리
155,5호선,답십리,100,1.0,32.5,답십리,마장,마장
156,5호선,장한평,100,1.2,33.7,장한평,답십리,답십리
157,5호선,군자,100,1.5,35.2,군자,장한평,장한평
158,5호선,아차산,90,1.0,36.2,아차산,군자,군자
159,5호선,광나루,110,1.5,37.7,광나루,아차산,아차산
160,5호선,천호,130,2.0,39.7,천호,광나루,광나루
161,5호선,강동,70,0.8,40.5,강동,천호,천호
162,5호선,길동,90,0.9,41.4,길동,강동,강동
163,5호선,굽은다리,70,0.8,42.2,굽은다리,길동,길동
164,5호선,명일,70,0.8,43.0,명일,굽은다리,굽은다리
165,5호선,고덕,100,1.2,44.2,고덕,명일,명일
166,5호선,상일동,100,1.1,45.3,상일동,고덕,고덕
167,5호선,강일,110,0.8,46.1,강일,상일동,상일동
168,5호선,미사,110,1.7,47.8,미사,강일,강일
169,5호선,하남풍산,150,2.1,49.9,하남풍산,미사,미사
170,5호선,하남시청,110,1.3,51.2,하남시청,하남풍산,하남풍산
171,5호선,하남검단산,150,1.6,52.8,하남검단산,하남시청,하남시청
172,5호선,둔촌동,110,1.2,54.0,둔촌동,하남검단산,하남검단산
173,5호선,올림픽공원,100,1.4,55.4,올림픽공원,둔촌동,둔촌동
174,5호선,방이,80,0.8,56.2,방이,올림픽공원,올림픽공원
175,5호선,오금,80,0.9,57.1,오금,방이,방이
176,5호선,개롱,70,0.9,58.0,개롱,오금,오금
177,5호선,거여,80,0.9,58.9,거여,개롱,개롱
178,5호선,마천,90,0.9,59.8,마천,거여,거여
179,6호선,응암,0,0.0,0.0,응암,,
180,6호선,역촌,100,1.1,1.1,역촌,응암,응암
181,6호선,불광,80,0.8,1.9,불광,역촌,역촌
182,6호선,독바위,80,0.9,2.8,독바위,불광,불광
183,6호선,연신내,130,1.4,4.2,연신내,독바위,독바위
184,6호선,구산,80,0.9,5.1,구산,연신내,연신내
185,6호선,응암,120,1.5,6.6,응암,구산,구산
186,6호선,새절,80,0.9,7.5,새절,응암,응암
187,6호선,증산,80,0.9,8.4,증산,새절,새절
188,6호선,디지털미디어시티,80,1.1,9.5,디지털미디어시티,증산,증산
189,6호선,월드컵경기장,70,0.8,10.3,월드컵경기장,디지털미디어시티,디지털미디어시티
190,6호선,마포구청,70,0.8,11.1,마포구청,월드컵경기장,월드컵경기장
191,6호선,망원,80,1.0,12.1,망원,마포구청,마포구청
192,6호선,합정,80,0.8,12.9,합정,망원,망원
193,6호선,상수,70,0.8,13.7,상수,합정,합정
194,6호선,광흥창,70,0.9,14.6,광흥창,상수,상수
195,6호선,대흥,90,1.0,15.6,대흥,광흥창,광흥창
196,6호선,공덕,80,0.9,16.5,공덕,대흥,대흥
197,6호선,효창공원앞,80,0.9,17.4,효창공원앞,공덕,공덕
198,6호선,삼각지,90,1.2,18.6,삼각지,효창공원앞,효창공원앞
199,6호선,녹사평,100,1.1,19.7,녹사평,삼각지,삼각지
200,6호선,이태원,70,0.8,20.5,이태원,녹사평,녹사평
201,6호선,한강진,90,1.0,21.5,한강진,이태원,이태원
202,6호선,버티고개,90,1.0,22.5,버티고개,한강진,한강진
203,6호선,약수,70,0.7,23.2,약수,버티고개,버티고개
204,6호선,청구,70,0.8,24.0,청구,약수,약수
205,6호선,신당,70,0.7,24.7,신당,청구,청구
206,6호선,동묘앞,60,0.6,25.3,동묘앞,신당,신당
207,6호선,창신,80,0.9,26.2,창신,동묘앞,동묘앞
208,6호선,보문,70,0.8,27.0,보문,창신,창신
209,6호선,안암,70,0.9,27.9,안암,보문,보문
210,6호선,고려대,70,0.8,28.7,고려대,안암,안암
211,6호선,월곡,100,1.4,30.1,월곡,고려대,고려대
212,6호선,상월곡,70,0.8,30.9,상월곡,월곡,월곡
213,6호선,돌곶이,70,0.8,31.7,돌곶이,상월곡,상월곡
214,6호선,석계,80,1.0,32.7,석계,돌곶이,돌곶이
215,6호선,태릉입구,70,0.8,33.5,태릉입구,석계,석계
216,6호선,화랑대,70,0.9,34.4,화랑대,태릉입구,태릉입구
217,6호선,봉화산,80,0.7,35.1,봉화산,화랑대,화랑대
218,6호선,신내역,270,1.3,36.4,신내역,봉화산,봉화산
219,7호선,장암,0,0.0,0.0,장암,,
220,7호선,도봉산,270,1.4,1.4,도봉산,장암,장암
221,7호선,수락산,140,1.6,3.0,수락산,도봉산,도봉산
222,7호선,마들,120,1.4,4.4,마들,수락산,수락산
223,7호선,노원,90,1.2,5.6,노원,마들,마들
224,7호선,중계,80,1.1,6.7,중계,노원,노원
225,7호선,하계,70,1.0,7.7,하계,중계,중계
226,7호선,공릉,90,1.3,9.0,공릉,하계,하계
227,7호선,태릉입구,60,0.8,9.8,태릉입구,공릉,공릉
228,7호선,먹골,70,0.9,10.7,먹골,태릉입구,태릉입구
229,7호선,중화,80,0.9,11.6,중화,먹골,먹골
230,7호선,상봉,110,1.0,12.6,상봉,중화,중화
231,7호선,면목,70,0.8,13.4,면목,상봉,상봉
232,7호선,사가정,70,0.9,14.3,사가정,면목,면목
233,7호선,용마산,70,0.8,15.1,용마산,사가정,사가정
234,7호선,중곡,80,0.9,16.0,중곡,용마산,용마산
235,7호선,군자,80,1.1,17.1,군자,중곡,중곡
236,7호선,어린이대공원,80,1.1,18.2,어린이대공원,군자,군자
237,7호선,건대입구,80,0.8,19.0,건대입구,어린이대공원,어린이대공원
238,7호선,자양,90,1.0,20.0,자양,건대입구,건대입구
239,7호선,청담,150,2.0,22.0,청담,자양,자양
240,7호선,강남구청,90,1.1,23.1,강남구청,청담,청담
241,7호선,학동,70,0.9,24.0,학동,강남구청,강남구청
242,7호선,논현,80,1.0,25.0,논현,학동,학동
243,7호선,반포,70,0.9,25.9,반포,논현,논현
244,7호선,고속터미널,90,0.9,26.8,고속터미널,반포,반포
245,7호선,내방,150,2.2,29.0,내방,고속터미널,고속터미널
246,7호선,이수,90,1.0,30.0,이수,내방,내방
247,7호선,남성,80,1.0,31.0,남성,이수,이수
248,7호선,숭실대입구,150,2.0,33.0,숭실대입구,남성,남성
249,7호선,상도,70,0.9,33.9,상도,숭실대입구,숭실대입구
250,7호선,장승배기,150,0.9,34.8,장승배기,상도,상도
251,7호선,신대방삼거리,110,1.2,36.0,신대방삼거리,장승배기,장승배기
252,7호선,보라매,70,0.8,36.8,보라매,신대방삼거리,신대방삼거리
253,7호선,신풍,140,0.9,37.7,신풍,보라매,보라매
254,7호선,대림,120,1.4,39.1,대림,신풍,신풍
255,7호선,남구로,90,1.1,40.2,남구로,대림,대림
256,7호선,가산디지털단지,80,0.8,41.0,가산디지털단지,남구로,남구로
257,7호선,철산,120,1.4,42.4,철산,가산디지털단지,가산디지털단지
258,7호선,광명사거리,110,1.3,43.7,광명사거리,철산,철산
259,7호선,천왕,120,1.7,45.4,천왕,광명사거리,광명사거리
260,7호선,온수,140,1.5,46.9,온수,천왕,천왕
261,8호선,암사역사공원,0,0.0,0.0,암사역사공원,,
262,8호선,암사,90,1.1,1.1,암사,암사역사공원,암사역사공원
263,8호선,천호,90,1.3,2.4,천호,암사,암사
264,8호선,강동구청,80,0.9,3.3,강동구청,천호,천호
265,8호선,몽촌토성,120,1.6,4.9,몽촌토성,강동구청,강동구청
266,8호선,잠실,70,0.8,5.7,잠실,몽촌토성,몽촌토성
267,8호선,석촌,110,1.2,6.9,석촌,잠실,잠실
268,8호선,송파,70,0.9,7.8,송파,석촌,석촌
269,8호선,가락시장,70,0.8,8.6,가락시장,송파,송파
270,8호선,문정,70,0.9,9.5,문정,가락시장,가락시장
271,8호선,장지,70,0.9,10.4,장지,문정,문정
272,8호선,복정,70,0.9,11.3,복정,장지,장지
273,8호선,남위례,110,1.5,12.8,남위례,복정,복정
274,8호선,산성,100,1.2,14.0,산성,남위례,남위례
275,8호선,남한산성입구,130,1.3,15.3,남한산성입구,산성,산성
276,8호선,단대오거리,70,0.8,16.1,단대오거리,남한산성입구,남한산성입구
277,8호선,신흥,70,0.8,16.9,신흥,단대오거리,단대오거리
278,8호선,수진,70,0.9,17.8,수진,신흥,신흥
279,8호선,모란,90,1.0,18.8,모란,수진,수진
